"","Orthology","Reaction","Reaction_decode","Pathway","Pathway_decode","Module","Module_decode","KEGG.mergedColors","KEGG.yellow","KEGG.black","KEGG.brown","KEGG.purple","KEGG.red","KEGG.turquoise","KEGG.magenta","KEGG.blue","KEGG.green","KEGG.yellow.p","KEGG.black.p","KEGG.brown.p","KEGG.purple.p","KEGG.red.p","KEGG.turquoise.p","KEGG.magenta.p","KEGG.blue.p","KEGG.green.p"
"K03387","ahpF; alkyl hydroperoxide reductase subunit F [EC:1.6.4.-]","","","","","","","yellow",0.913144016833248,0.269815252750641,-0.496818607715213,-0.0291684071631425,-0.21498064503894,-0.0326713967476652,-0.22513045825103,-0.823025920723615,-0.230254092549617,5.03836310874777e-188,1.95591508361917e-09,3.18192350954632e-31,0.52422297853313,2.05011759095935e-06,0.475616428004696,6.41127439883774e-07,2.96589976970184e-119,3.49100427861272e-07
"K00950","folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]","R03503","ATP + 6-(Hydroxymethyl)-7,8-dihydropterin <=> AMP + 6-Hydroxymethyl-7,8-dihydropterin diphosphate","map01100","Metabolic pathways","M00841","Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF","yellow",0.911355032452783,0.115471669045384,-0.489093582764385,0.00193931008128209,0.0521772656407255,-0.0424593452345162,-0.152097963120302,-0.673269517850462,-0.102533643513437,5.22390960434921e-186,0.0114361008820092,3.56067872529835e-30,0.966233223978489,0.254391275939632,0.353792381128441,0.000839055643976152,1.54126381144813e-64,0.0248251570794852
"K02361","entC; isochorismate synthase [EC:5.4.4.2]","R01717","Chorismate <=> Isochorismate","map01130","Biosynthesis of antibiotics","M00116","Menaquinone biosynthesis, chorismate => menaquinol","yellow",0.905703931592914,0.202654400442126,-0.477332446509488,-0.047462926989499,-0.163163482457956,0.044362870717566,-0.150159289500148,-0.689433819719151,-0.201645040004441,6.53444656553373e-180,7.81514534440329e-06,1.2530336313656e-28,0.29990034090237,0.000336130935106863,0.332610503244171,0.000978908873237123,8.27952001017893e-69,8.68949185578385e-06
"K13694","mepS, spr; murein DD-endopeptidase / murein LD-carboxypeptidase [EC:3.4.-.- 3.4.17.13]","","","","","","","yellow",0.905695332524561,0.0687908363806158,-0.50668119695048,-0.0152486710227379,-0.10467813783068,0.099895985701666,-0.156051169105263,-0.616727774634353,-0.202356401640581,6.67099667354556e-180,0.132733685796898,1.33099757525293e-32,0.739224220784896,0.0219457701455759,0.0288091052628253,0.000609293610339152,1.57506335001553e-51,8.06415326732406e-06
"K05970","SIAE; sialate O-acetylesterase [EC:3.1.1.53]","","","","","","","yellow",0.90495144556988,0.170927978064453,-0.4906356601578,-0.0613710214362149,-0.202059192622176,-0.20414803175027,-0.177978055184372,-0.704502469958254,-0.223644316032468,3.96228797774935e-179,0.000170685919754081,2.20948059829946e-30,0.179944721578767,8.32002018709323e-06,6.67358598796735e-06,8.98909170488166e-05,4.7510084345299e-73,7.62716451057174e-07
"K13566","NIT2, yafV; omega-amidase [EC:3.5.1.3]","R00348","2-Oxosuccinamate + H2O <=> Oxaloacetate + Ammonia","map01100","Metabolic pathways","","","yellow",0.904031202461201,0.154938714843768,-0.530133566509565,0.0222169672215554,-0.160378061757867,0.031355677526851,-0.204071762772382,-0.736764635240691,-0.139371861148528,3.51842774965119e-178,0.00066721217582171,4.56694810362191e-36,0.627653990396644,0.000425550989932583,0.493578779065738,6.72780327146265e-06,4.21390623831955e-83,0.00223365552078692
"K07148","K07148; uncharacterized protein","","","","","","","yellow",0.9036958813944,0.142061310475327,-0.475008637756112,-0.0505642574628266,-0.065528102934494,-0.0884241229317877,-0.203429184198141,-0.689106882789905,-0.190984447772773,7.75438719635832e-178,0.00182787013053214,2.49164852456479e-28,0.269390168186865,0.152159604253238,0.0531143822325377,7.20156918851297e-06,1.01658740581131e-68,2.57902544096201e-05
"K03558","cvpA; membrane protein required for colicin V production","","","","","","","yellow",0.903113256746976,0.114385048256349,-0.486540224171937,-0.0362139967675151,-0.137139803867642,0.0293804817247678,-0.163478084744588,-0.626676185366801,-0.19046546953836,3.03998166833568e-177,0.0122408009993475,7.80505453619315e-30,0.429077860356794,0.00263118277280638,0.52120978114725,0.000327215754414957,1.26407185759062e-53,2.71523798807956e-05
"K21029","moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]","R07459","Sulfur-carrier protein + ATP <=> Adenylyl-[sulfur-carrier protein] + Diphosphate","map04122","Sulfur relay system","","","yellow",0.899709832752786,0.206480510530179,-0.467570535308947,-0.0448116277788896,-0.131275450470283,0.0385480141993907,-0.165136690567328,-0.689481999583778,-0.207469163435157,7.50186924400283e-174,5.20300832251783e-06,2.17163926222234e-27,0.32773831296724,0.004001271170487,0.399914969330665,0.00028375115265404,8.03265048429991e-69,4.6779909498216e-06
"K07001","K07001; NTE family protein","","","","","","","yellow",0.895281513736161,0.195526709705217,-0.529394459966937,-0.0526051048751835,-0.173681771891464,-0.154321674459731,-0.244303396128805,-0.832726748836869,-0.252288495519395,1.29128930677281e-169,1.63403638545312e-05,5.92901312053936e-36,0.25051202852752,0.000133260859990175,0.000701497697378685,6.12413991191318e-08,1.50513846929713e-124,2.16860851919012e-08
"K12343","SRD5A1; 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22]","R10242","5alpha-Androstane-3,17-dione + NADP+ <=> Androstenedione + NADPH + H+","map00140","Steroid hormone biosynthesis","","","yellow",0.895090513126406,0.108446118829898,-0.504462258898901,-0.0358497391597221,-0.203161162515911,-0.200553455954007,-0.22032879576564,-0.666953596128623,-0.227946162305253,1.94727554562631e-169,0.0175839753588865,2.74314559463019e-32,0.433737799111272,7.40843536744892e-06,9.73967630559848e-06,1.11881528225678e-06,6.07257738516775e-63,4.59866080523497e-07
"K01190","lacZ; beta-galactosidase [EC:3.2.1.23]","R06114","Lactose + H2O <=> D-Glucose + beta-D-Galactose","map01100","Metabolic pathways","","","yellow",0.894726608068925,0.201942774450692,-0.456436520563461,-0.105420872370855,-0.154672436719061,-0.210070360959767,-0.200717165358603,-0.68436958337341,-0.248983839522316,4.24991647726985e-169,8.42233765128605e-06,5.03407397417115e-26,0.0210183998834063,0.000681812715967415,3.52737865726655e-06,9.57481571310102e-06,1.93024463586487e-67,3.34702733082463e-08
"K01278","DPP4, CD26; dipeptidyl-peptidase 4 [EC:3.4.14.5]","","","map04974","Protein digestion and absorption","","","yellow",0.89447555124864,0.41258200094495,-0.377937679633043,-0.0765938054161371,-0.283898095517047,-0.225060441442724,-0.175067647718018,-0.849416542521968,-0.277856000508024,7.26940191507842e-169,4.11916215047242e-21,1.03607271913823e-17,0.0940485014509123,2.48618484527395e-10,6.46411682685841e-07,0.000117485477039252,1.66205685807785e-134,6.11102273223633e-10
"K06177","rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]","","","","","","","yellow",0.890105117291409,0.173818946352555,-0.518576972641382,0.00105454442929452,-0.18343001262207,-0.0564418955147745,-0.132003921982518,-0.758674950452223,-0.206883428964953,6.72670060491617e-165,0.000131614916645535,2.51503637233735e-34,0.981634689212639,5.3819825329237e-05,0.217558299581121,0.0038015837517781,8.11269554606672e-91,4.9825871364092e-06
"K01119","cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]","R05135","2',3'-Cyclic GMP + H2O <=> Guanosine 3'-phosphate","map01100","Metabolic pathways","","","yellow",0.884230027317739,0.211953390216684,-0.436927546800377,-0.0634945730009907,-0.168393591380043,0.0509417607657442,-0.184679490304935,-0.679369829681573,-0.106179294840091,7.99291026232301e-160,2.86899221710683e-06,9.46411503242806e-24,0.16531493399398,0.000213640591964056,0.265826788153175,4.77495664496138e-05,4.06204992097552e-66,0.0201067566848563
"K01051","E3.1.1.11; pectinesterase [EC:3.1.1.11]","R02362","Pectin + n H2O <=> n Methanol + Pectate","map02020","Two-component system","M00081","Pectin degradation","yellow",0.880873628560956,0.189841760626537,-0.456809637133472,-0.0109947673239818,-0.272845844746125,-0.11866423541967,-0.197802834939592,-0.644661102037737,-0.216249723673968,4.78557712600126e-157,2.88796402894396e-05,4.53920278858665e-26,0.810321901899457,1.26724667225029e-09,0.00933600719425844,1.29482872264921e-05,1.30130331216425e-57,1.7781370941291e-06
"K09789","bioG; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]","R09725","Pimeloyl-[acyl-carrier protein] methyl ester + H2O <=> Pimeloyl-[acyl-carrier protein] + Methanol","map01100","Metabolic pathways","M00572","Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP","yellow",0.879821387135726,0.111458905688537,-0.483864615311548,-0.00218001631163956,-0.209418655739982,-0.179492377778111,-0.188429528331437,-0.625723678184788,-0.20626085984383,3.41495091743702e-156,0.0146615554138651,1.76390186691053e-29,0.962045086739941,3.78717486706082e-06,7.80711473874701e-05,3.31832078493095e-05,2.02159589838861e-53,5.32705954890922e-06
"K08218","ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG","","","map01501","beta-Lactam resistance","","","yellow",0.878768761257804,0.259114040321284,-0.49811572607872,-0.0623366280380704,-0.2044876904037,-0.110697922501174,-0.246709299982923,-0.848733623008812,-0.282378663541984,2.39424952503037e-155,8.67730563712765e-09,2.10834744641725e-31,0.173177664590845,6.43715218165341e-06,0.0153562758378742,4.49609456979165e-08,4.48150874903145e-134,3.12351748338155e-10
"K08169","yebQ; MFS transporter, DHA2 family, multidrug resistance protein","","","","","","","yellow",0.87693668333269,0.196940713875677,-0.449882019915685,-0.0594428124351423,-0.12698750563984,-0.0214771394708742,-0.196698482132614,-0.704711543952074,-0.229580460851179,6.80178424373931e-154,1.41456583372753e-05,3.03675723088519e-25,0.194040381751519,0.00538137328524994,0.639158190334561,1.45005848992759e-05,4.1309569380923e-73,3.78453480811454e-07
"K02548","menA; 1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]","R10757","all-trans-Polyprenyl diphosphate + 1,4-Dihydroxy-2-naphthoate <=> Demethylmenaquinol + Diphosphate + CO2","map01110","Biosynthesis of secondary metabolites","M00116","Menaquinone biosynthesis, chorismate => menaquinol","yellow",0.876331308593022,0.109633630543528,-0.488963370584265,-0.0709103988489877,0.185047199134131,0.102178393939568,-0.0896101735251416,-0.670781813843161,-0.200381686574976,2.03136150384584e-153,0.0163762826486998,3.70667119998314e-30,0.121178367118607,4.6090236112853e-05,0.0253323635779462,0.0499917035742641,6.62245384248197e-64,9.91555770219215e-06
"K14155","patB, malY; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]","R12188","L-Cysteine-S-conjugate + H2O <=> Thiol + Ammonia + Pyruvate","map01230","Biosynthesis of amino acids","","","yellow",0.87481525058214,0.0820540912355656,-0.526081648421993,-0.0704115209797221,0.0933221384338221,-0.0133543176358567,-0.0123711853654319,-0.613112131582686,-0.107306361257288,3.06810991452742e-152,0.0727851020903551,1.89518334653433e-35,0.123824911139423,0.041193660425287,0.770651449911982,0.787114456251326,8.71900501672325e-51,0.0188155760814427
"K07221","oprO_P; phosphate-selective porin OprO and OprP","","","","","","","yellow",0.87331975099376,0.133802220030926,-0.449868399305996,-0.0555040178537225,0.0196812372233528,-0.140921473565082,-0.154018213830826,-0.598732816146569,-0.182561562494431,4.31532968923282e-151,0.00334670972730552,3.04799630399014e-25,0.225311197226022,0.667442182527369,0.00199080745899175,0.00071895150099703,6.35457087555656e-48,5.84606967095838e-05
"K06167","phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]","R10205","alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate + H2O <=> D-Ribose 1,5-bisphosphate","map01100","Metabolic pathways","","","yellow",0.872913558144681,0.181933058961515,-0.508501617015627,-0.0713121984996753,0.134241464274723,0.0674965081042458,-0.207543523336113,-0.767481447632918,-0.248280931589215,8.79716646796439e-151,6.20522550025918e-05,7.32464523313882e-33,0.119079065497452,0.00324339182652878,0.140197456904154,4.64061862269934e-06,3.72417586932284e-94,3.66779090923396e-08
"K15532","yteR, yesR; unsaturated rhamnogalacturonyl hydrolase [EC:3.2.1.172]","","","","","","","yellow",0.870161099260215,0.149045739078843,-0.463806857789335,-0.0377072972141674,-0.303873672955653,-0.190087258384965,-0.183162371549035,-0.597319015269628,-0.212473454547402,1.02981998042311e-148,0.00106866949896085,6.36603063746753e-27,0.410279909476032,1.08651454887156e-11,2.81877034335788e-05,5.52116050461166e-05,1.19334590130605e-47,2.70898074702983e-06
"K03606","wcaJ; putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase","","","map05111","Biofilm formation - Vibrio cholerae","","","yellow",0.869895702231899,0.280005251652168,-0.348409983873941,-0.0197595066609709,-0.217471567931553,-0.0882163397223285,-0.159759285181457,-0.664970185613941,-0.185393447440225,1.62068218433494e-148,4.44898370597986e-10,4.06880814665154e-15,0.66619926117178,1.54917518917369e-06,0.0536778256805167,0.000448214139869977,1.88955750624355e-62,4.45777040976916e-05
"K05306","phnX; phosphonoacetaldehyde hydrolase [EC:3.11.1.1]","R00747","Phosphonoacetaldehyde + H2O <=> Acetaldehyde + Orthophosphate","map01120","Microbial metabolism in diverse environments","","","yellow",0.868323740625797,0.154727950410667,-0.439548254901681,-0.0278894321995307,-0.160845799598703,-0.114162633744553,-0.175042420070441,-0.620715373060014,-0.197503857415571,2.32993588378534e-147,0.000678744584510184,4.77596804595692e-24,0.542581650212916,0.000409132648722764,0.0124115452232714,0.000117756249626318,2.32485604072267e-52,1.33521692415712e-05
"K01966","PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]","R01859","ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA","map01200","Carbon metabolism","M00741","Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA","yellow",0.868220335367983,0.270175243171346,-0.454014998392552,-0.072167073294675,-0.0610366109896968,-0.16175135712724,-0.165804863526559,-0.766267351298827,-0.223017544177233,2.77313658461216e-147,1.85815657749498e-09,9.82285627366015e-26,0.114707174142379,0.182333387367535,0.000379009571028129,0.000267815978938964,1.09640569233173e-93,8.20380860587808e-07
"K08156","araJ; MFS transporter, DHA1 family, arabinose polymer utilization protein","","","","","","","yellow",0.867709312522869,0.213771315599627,-0.465886836375734,-0.0946952360339833,-0.186596388954598,-0.104767970769811,-0.0978143693447842,-0.723322979887216,-0.232404875072462,6.5430154858707e-147,2.34604462313774e-06,3.51929083487553e-27,0.0382888579854397,3.96795393695712e-05,0.0218317512265535,0.0323294466507204,9.69021570513276e-79,2.69329786592865e-07
"K02002","proX; glycine betaine/proline transport system substrate-binding protein","","","map02010","ABC transporters","","","yellow",0.867595273918571,0.166877078782667,-0.441812745125188,0.13008800196095,-0.0871022580465077,0.129207453115188,-0.15547235106973,-0.648392135125017,-0.167553255306682,7.92063814235449e-147,0.0002439816554895,2.63224806382549e-24,0.00434719556734026,0.0567843515817833,0.00462092532276564,0.000638820241738753,1.79177405356999e-58,0.000229986801143568
"K03332","fruA; fructan beta-fructosidase [EC:3.2.1.80]","R00879","Fructan(n+1) + H2O <=> D-Fructose + Fructan(n)","map00051","Fructose and mannose metabolism","","","yellow",0.866645506988053,0.399330640276681,-0.289609631872394,-0.0112860490960002,-0.276455386501679,-0.202287766059552,-0.17227935668315,-0.708950407704318,-0.182841895564993,3.86267345478495e-146,9.18395193945462e-20,1.04133709046628e-10,0.805396039491921,7.5042915313157e-10,8.12256701384966e-06,0.0001512345153719,2.36074621950673e-74,5.69228537014242e-05
"K01372","BLMH, pepC; bleomycin hydrolase [EC:3.4.22.40]","","","","","","","yellow",0.866364127867592,0.265534487871798,-0.474133691479293,-0.0171643575781368,-0.276098712035676,-0.210003249888362,-0.00469197889872847,-0.79026352335864,-0.138578998863791,6.16220717333624e-146,3.57792761849029e-09,3.22325254562439e-28,0.707878824600386,7.90575739954363e-10,3.55332392276908e-06,0.918422328330329,1.59983404632023e-103,0.00236810727982678
"K12308","bgaB, lacA; beta-galactosidase [EC:3.2.1.23]","R01105","Galactan + H2O <=> D-Galactose + Galactan","map00052","Galactose metabolism","","","yellow",0.865428229567788,0.123278852977262,-0.49652194974659,-0.116708930858877,-0.126473890573531,-0.198021054837372,-0.00166600937633068,-0.594971326867152,-0.215491544286568,2.89149627017696e-145,0.00690583616374588,3.49512648299278e-31,0.010577138687646,0.00557262309743184,1.26608632279694e-05,0.970989604215225,3.37470539011758e-47,1.93614966993982e-06
"K00782","lldG; L-lactate dehydrogenase complex protein LldG","","","","","","","yellow",0.864575200954599,0.198718562039799,-0.395920618405033,-0.0190121215102755,-0.089837018562985,0.128020476971242,-0.151842041098313,-0.622536519823655,-0.172350900841553,1.17131158088836e-144,1.17823063598768e-05,1.99664699710745e-19,0.678104606197285,0.0494122859604756,0.00501452334360299,0.000856394746554442,9.61443883037732e-53,0.00015026506460902
"K01911","menE; O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26]","R04030","ATP + 2-Succinylbenzoate + CoA <=> AMP + Diphosphate + 2-Succinylbenzoyl-CoA","map01110","Biosynthesis of secondary metabolites","M00116","Menaquinone biosynthesis, chorismate => menaquinol","yellow",0.863338593019636,0.204676410569931,-0.444356339993975,-0.0463697748966208,0.106563936820516,0.100631719063718,-0.16412287924278,-0.687694145087009,-0.185500414271952,8.75178005233741e-144,6.30926038647716e-06,1.34084037617725e-24,0.311181807718284,0.0196576967975934,0.0276461492529525,0.000309628704260861,2.46020445202861e-68,4.41200062550848e-05
"K23005","lgaC; L-galactonate 5-dehydrogenase [EC:1.1.1.414]","R12146","L-Galactonate + NAD+ <=> D-Tagaturonate + NADH + H+","map01100","Metabolic pathways","","","yellow",0.861580270516105,0.193059399736365,-0.454385406088399,-0.0604579658392191,-0.277466293528546,-0.198949100488656,-0.198147759346354,-0.647526995088068,-0.220840892986124,1.47695406222448e-142,2.09647360366111e-05,8.87114340185389e-26,0.186521836270942,6.47116316486714e-10,1.15049092606481e-05,1.24967725365644e-05,2.84463824755079e-58,1.05493399915514e-06
"K00566","mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]","R08700","tRNA uridine + [Enzyme]-S-sulfanylcysteine + ATP <=> tRNA containing 2-thiouridine + [Enzyme]-cysteine + AMP + Diphosphate","map04122","Sulfur relay system","","","yellow",0.856602029891151,0.457176699750073,-0.276910892207055,-0.0720860770395636,-0.245415265859165,-0.20567200040817,-0.256453292691096,-0.765997491168091,-0.243646160357129,3.5833643908932e-139,4.09934711498322e-26,7.0203189648143e-10,0.11511591782269,5.31123775563774e-08,5.67370856660088e-06,1.24401052721508e-08,1.39256922931865e-93,6.65984237326545e-08
"K23004","lgaB; L-galactono-1,5-lactonase [EC:3.1.1.-]","R12155","L-Galactono-1,5-lactone + H2O <=> L-Galactonate","map01100","Metabolic pathways","","","yellow",0.856577963956057,0.128310578331645,-0.477631144003776,-0.0192871924152191,-0.264116020959789,-0.198434111982645,-0.178366754178681,-0.617317356663624,-0.200112241536344,3.71828193150122e-139,0.00491563245864676,1.14663463475901e-28,0.673713392219755,4.36036349900143e-09,1.21333474135632e-05,8.67057918384956e-05,1.18903987984478e-51,1.0197558916488e-05
"K01173","ENDOG; endonuclease G, mitochondrial","","","map04210","Apoptosis","","","yellow",0.855527198668871,0.161969564668451,-0.462537709355639,-0.00977560176087334,-0.183671694250368,-0.163296231923315,-0.187433104654553,-0.682091654775497,-0.182430443382554,1.85493336696589e-138,0.000372066638998606,9.12159198220671e-27,0.831018415885062,5.25915715081611e-05,0.000332341810145922,3.65777591637821e-05,7.79340950163909e-67,5.91933726589116e-05
"K09790","K09790; uncharacterized protein","","","","","","","yellow",0.852998189161019,0.0238171140541257,-0.529016018347485,-0.0380404059647062,-0.105627558822045,0.0115229779153854,-0.16785939375241,-0.591485347474787,-0.0601317813226037,8.42971596908388e-137,0.603081117418132,6.77510110286942e-36,0.406154214674753,0.0207664660222534,0.801394999746043,0.00022390084362539,1.55522344054159e-46,0.188913895082431
"K00657","speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]","R01154","Acetyl-CoA + Putrescine <=> CoA + N-Acetylputrescine","map04216","Ferroptosis","M00135","GABA biosynthesis, eukaryotes, putrescine => GABA","yellow",0.848352296694749,0.119229680445207,-0.451197017871983,-0.0540657469619295,-0.11485809192852,-0.015178970200185,-0.198669573099191,-0.620693127748267,-0.204978988690496,7.78099331090591e-134,0.00900210255058825,2.12410851098147e-25,0.237579284850508,0.0118845356699977,0.740373254504689,1.18420669193039e-05,2.34998225790677e-52,6.10925361529021e-06
"K15923","AXY8, FUC95A, afcA; alpha-L-fucosidase 2 [EC:3.2.1.51]","","","map00511","Other glycan degradation","","","yellow",0.845659127411029,0.237599347687011,-0.410741484473933,-0.0666334147502199,-0.180250824920968,-0.19846858834917,-0.222029309435573,-0.69628150921654,-0.239592190627518,3.67059006184847e-132,1.42443314324452e-07,6.39277366886201e-21,0.145350625755594,7.27173143883201e-05,1.20902760521561e-05,9.19889256274396e-07,1.05524933060821e-70,1.11121281693415e-07
"K01192","E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]","","","map04142","Lysosome","","","yellow",0.840369578126354,0.118061733582695,-0.445691922529921,-0.0445351810729804,-0.190275404052861,-0.174356328691505,-0.136825399928407,-0.57141530061704,-0.187602117176807,5.7616279259759e-129,0.00970387403351452,9.387821756303e-25,0.330734228978384,2.76680794322929e-05,0.000125349069763731,0.0026920862370932,7.2409078478842e-43,3.5979728776977e-05
